"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"338701211333165057","Sun May 26 17:00:36 +0000 2013","2","Photo: The real Princess Twilight! Sorry Twilight Sparkle. :P Bonus: Midna and Zelda alicorn designs I... http://t.co/SdNDFw6dbB","338701211333165057","","","en","they/them","0","0","2","https://x.com/FinniChang/status/338701211333165057","36628432","FinniChang"
"338588669638242304","Sun May 26 10:08:21 +0000 2013","0","@HollieMonsterXD idk who I'd be ;o pinkiepie's my favourite but it'd be so cool to do rainbow dash. Or twilight as an alicorn asdkfncjfb","338597466322661376","","","en","Skegness, England","0","0","0","https://x.com/BethhMay/status/338597466322661376","112765940","BethhMay"
"338580493006155776","Sun May 26 09:00:54 +0000 2013","0","I don't need Help!Ha I just me or did when twilight turn into an Alicorn she got taller all of a sudden?","338580493006155776","","","en","Internet","0","0","0","https://x.com/BronyRT_eBooks/status/338580493006155776","1015685628","BronyRT_eBooks"
"338576646472884224","Sun May 26 08:45:37 +0000 2013","0","Is it just me or did when Twilight turn into an Alicorn she got taller all of a sudden? #pegasister","338576646472884224","","","en","","0","0","1","https://x.com/JesslmcJessica/status/338576646472884224","487251638","JesslmcJessica"
"338547923195408385","Sun May 26 07:18:39 +0000 2013","0","@Anthro_Celestia (( [Twilight happily Nuzzles her mentor sighing softly against the Alicorn's elegant coat] R..Really~? ))","338554760321957888","","Anthro_Celestia","en","Ponyville Library ( GMT )","0","1","0","https://x.com/Anthro_Twi/status/338554760321957888","1454955511","Anthro_Twi"
"338464631129505792","Sun May 26 01:20:31 +0000 2013","0","OMG so Twilight Sparkle is no longer a unicorn but an ALICORN! That just blew my mind; too much kid time. I need some grown up girl time! ","338464631129505792","","","en","","0","0","1","https://x.com/thatkindaluv/status/338464631129505792","22197922","thatkindaluv"
"338381111535214592","Sat May 25 19:51:30 +0000 2013","3","@foalpapers @M_A_Larson HELLO I'M MA LARSON YOU MAY REMEMBER ME FROM SUCH EVENTS AS ALICORN TWILIGHT AND THAT ONE WITH PINKIE AND THE POLKA","338381831609126912","","foalpapers","en","Portland, OR","0","0","0","https://x.com/peek_pdx/status/338381831609126912","632599675","peek_pdx"
"338372082897395712","Sat May 25 19:12:45 +0000 2013","0","@MMeghanMcCarthy Was Twilight becoming an alicorn princess a part of Lauren's original vision?","338372082897395712","","MMeghanMcCarthy","en","","0","0","0","https://x.com/WanWeengedAnjil/status/338372082897395712","233959834","WanWeengedAnjil"
"338156651523735552","Sat May 25 04:56:43 +0000 2013","0","Photo: SelfExplanatory.PNG by *ZuTheSkunk I have to be honest I like Alicorn Twilight But this is too good... http://t.co/P8QNSx8weo","338156651523735552","","","en","New York, USA","0","0","0","https://x.com/KarenDishaw/status/338156651523735552","291938810","KarenDishaw"
"338118308308070400","Sat May 25 02:24:21 +0000 2013","0","if they had used twilight becoming an alicorn as the ending to a big adventure movie or something that would've been really good","338118308308070400","","","en","","0","0","0","https://x.com/reubyraspbeary/status/338118308308070400","844106774","reubyraspbeary"
